City,Viewers,Percent
Durham,2721,0.419972217934866
Charlotte,589,0.0909090909090909
Raleigh,455,0.070226886865257
Atlanta,223,0.0344188918042908
Franklin,204,0.0314863404846427
Cary,132,0.0203735144312394
Chapel Hill,114,0.0175953079178886
Mebane,86,0.0132736533415651
Winston-Salem,73,0.0112671708597006
Greensboro,70,0.0108041364408088
Creedmoor,63,0.00972372279672789
Wake Forest,60,0.00926068837783609
New York,56,0.00864330915264701
Hillsborough,55,0.00848896434634975
Norfolk,49,0.00756289550856614
Sylva,43,0.00663682667078253
Virginia Beach,41,0.00632813705818799
(not set),35,0.00540206822040438
Philadelphia,34,0.00524772341410712
Miami,30,0.00463034418891804
Oxford,29,0.00447599938262077
Washington,29,0.00447599938262077
Clayton,24,0.00370427535113443
Blythewood,23,0.00354993054483717
North Druid Hills,22,0.0033955857385399
Henderson,21,0.00324124093224263
Columbia,20,0.00308689612594536
Newburgh,20,0.00308689612594536
Fayetteville,19,0.00293255131964809
Orlando,19,0.00293255131964809
Dallas,18,0.00277820651335083
Chicago,17,0.00262386170705356
Friendly,17,0.00262386170705356
Myrtle Beach,17,0.00262386170705356
Williamston,17,0.00262386170705356
Burlington,16,0.00246951690075629
Cashiers,16,0.00246951690075629
High Point,16,0.00246951690075629
Charlottesville,15,0.00231517209445902
Roxboro,15,0.00231517209445902
Wendell,15,0.00231517209445902
Marietta,14,0.00216082728816175
Pittsburgh,13,0.00200648248186449
Birmingham,12,0.00185213767556722
Cincinnati,12,0.00185213767556722
Corona,12,0.00185213767556722
Nashville,12,0.00185213767556722
Whiteville,12,0.00185213767556722
Black Mountain,11,0.00169779286926995
Greenville,11,0.00169779286926995
Hyattsville,11,0.00169779286926995
Knightdale,11,0.00169779286926995
Carrboro,10,0.00154344806297268
Graham,10,0.00154344806297268
Hampton,10,0.00154344806297268
Jacksonville,10,0.00154344806297268
Rocky Mount,10,0.00154344806297268
Swannanoa,10,0.00154344806297268
Andrews,9,0.00138910325667541
Marion,9,0.00138910325667541
Tallahassee,9,0.00138910325667541
Wilmington,9,0.00138910325667541
Carrollton,8,0.00123475845037814
Houston,8,0.00123475845037814
Morrisville,8,0.00123475845037814
Saint Charles,8,0.00123475845037814
Tysons,8,0.00123475845037814
Apex,7,0.00108041364408088
Billerica,7,0.00108041364408088
Fearrington,7,0.00108041364408088
Kennesaw,7,0.00108041364408088
Kernersville,7,0.00108041364408088
Mars Hill,7,0.00108041364408088
Roanoke Rapids,7,0.00108041364408088
Surprise,7,0.00108041364408088
Weaverville,7,0.00108041364408088
Blacksburg,6,0.000926068837783609
Charleston,6,0.000926068837783609
Concord,6,0.000926068837783609
Fort Worth,6,0.000926068837783609
Garner,6,0.000926068837783609
Kingstree,6,0.000926068837783609
Los Angeles,6,0.000926068837783609
Murphy,6,0.000926068837783609
Panthersville,6,0.000926068837783609
Pittsboro,6,0.000926068837783609
Savannah,6,0.000926068837783609
Winter Haven,6,0.000926068837783609
Burnsville,5,0.00077172403148634
Chantilly,5,0.00077172403148634
Columbus,5,0.00077172403148634
Leland,5,0.00077172403148634
Louisville,5,0.00077172403148634
Newark,5,0.00077172403148634
North Myrtle Beach,5,0.00077172403148634
Seattle,5,0.00077172403148634
Spokane Valley,5,0.00077172403148634
Tega Cay,5,0.00077172403148634
Annandale,4,0.000617379225189072
Ashburn,4,0.000617379225189072
Boone,4,0.000617379225189072
Brookhaven,4,0.000617379225189072
Candler-McAfee,4,0.000617379225189072
Currituck,4,0.000617379225189072
Detroit,4,0.000617379225189072
Eden,4,0.000617379225189072
Efland,4,0.000617379225189072
Elkridge,4,0.000617379225189072
Forest Acres,4,0.000617379225189072
Frisco,4,0.000617379225189072
Goldsboro,4,0.000617379225189072
Hickory,4,0.000617379225189072
Huntersville,4,0.000617379225189072
Kansas City,4,0.000617379225189072
