# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180930-20180930,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,180,70,227,41.41%,2.51,0:04:32,0.00%,0,$0.00 
Charlotte,43,17,54,46.30%,2.22,0:04:04,0.00%,0,$0.00 
Raleigh,33,14,47,59.57%,1.49,0:01:40,0.00%,0,$0.00 
Atlanta,17,11,22,40.91%,2.82,0:04:35,0.00%,0,$0.00 
Franklin,15,7,20,55.00%,1.8,0:01:31,0.00%,0,$0.00 
Winston-Salem,9,5,13,69.23%,1.92,0:02:11,0.00%,0,$0.00 
Cary,7,2,7,57.14%,2.86,0:12:09,0.00%,0,$0.00 
Chapel Hill,6,4,11,36.36%,1.64,0:00:37,0.00%,0,$0.00 
Greensboro,6,4,8,25.00%,2.5,0:02:41,0.00%,0,$0.00 
Mebane,6,4,9,22.22%,2.78,0:06:55,0.00%,0,$0.00 
New York,5,1,10,70.00%,3.3,0:07:45,0.00%,0,$0.00 
Smithfield,4,2,7,57.14%,2.71,0:04:08,0.00%,0,$0.00 
Miami,3,1,3,66.67%,2.33,0:01:46,0.00%,0,$0.00 
Fayetteville,3,2,3,33.33%,1.67,0:00:04,0.00%,0,$0.00 
Orlando,2,2,2,50.00%,5,0:02:05,0.00%,0,$0.00 
Apex,2,2,2,0.00%,2.5,0:00:45,0.00%,0,$0.00 
Greenville,2,2,3,33.33%,1.67,0:09:33,0.00%,0,$0.00 
Henderson,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
High Point,2,0,3,33.33%,2.33,0:09:42,0.00%,0,$0.00 
Hillsborough,2,0,2,50.00%,1.5,0:00:08,0.00%,0,$0.00 
Knightdale,2,1,2,0.00%,2.5,0:00:21,0.00%,0,$0.00 
Sylva,2,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 
Austin,2,1,3,33.33%,2.33,0:04:06,0.00%,0,$0.00 
Norfolk,2,0,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 
Seattle,2,0,3,33.33%,2.33,0:02:50,0.00%,0,$0.00 
Fearrington,2,1,2,50.00%,2.5,0:02:35,0.00%,0,$0.00 
(not set),1,0,1,0.00%,2,0:25:08,0.00%,0,$0.00 
Washington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Clayton,1,0,4,75.00%,1.25,0:00:10,0.00%,0,$0.00 
Destin,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tallahassee,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kennesaw,1,0,3,0.00%,2,0:00:06,0.00%,0,$0.00 
Chicago,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Suitland-Silver Hill,1,1,2,50.00%,2.5,0:08:58,0.00%,0,$0.00 
Black Mountain,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Burlington,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cashiers,1,0,4,75.00%,1.5,0:00:10,0.00%,0,$0.00 
Concord,1,0,2,0.00%,4,0:05:18,0.00%,0,$0.00 
Cornelius,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,1,0,1,0.00%,2,0:00:11,0.00%,0,$0.00 
Laurinburg,1,1,1,0.00%,2,0:03:55,0.00%,0,$0.00 
Morrisville,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ocean Isle Beach,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,1,0,2,0.00%,2,0:00:06,0.00%,0,$0.00 
Pittsboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Rocky Mount,1,1,2,50.00%,2.5,0:04:59,0.00%,0,$0.00 
Roxboro,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Spring Hope,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,1,0,3,33.33%,2,0:01:11,0.00%,0,$0.00 
Whiteville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Whittier,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Williamston,1,0,1,0.00%,2,0:11:29,0.00%,0,$0.00 
Wilmington,1,0,1,0.00%,2,0:00:07,0.00%,0,$0.00 
