# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181202-20181202,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Device Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,mobile,75,32,95,45.26%,2.8,0:03:33,0.00%,0,$0.00 
Durham,desktop,65,19,93,43.01%,2.22,0:02:16,0.00%,0,$0.00 
Durham,tablet,40,9,57,31.58%,2.89,0:05:17,0.00%,0,$0.00 
Charlotte,mobile,32,14,53,41.51%,3.21,0:03:57,0.00%,0,$0.00 
Raleigh,mobile,26,8,35,40.00%,2.77,0:04:00,0.00%,0,$0.00 
Atlanta,mobile,17,8,18,61.11%,1.83,0:01:08,0.00%,0,$0.00 
Raleigh,desktop,6,2,9,55.56%,2,0:00:39,0.00%,0,$0.00 
Charlotte,tablet,5,4,5,40.00%,2.2,0:01:14,0.00%,0,$0.00 
Creedmoor,desktop,4,1,12,66.67%,1.42,0:00:19,0.00%,0,$0.00 
Franklin,desktop,4,2,7,57.14%,1.43,0:03:02,0.00%,0,$0.00 
Franklin,mobile,4,2,6,66.67%,1.33,0:02:07,0.00%,0,$0.00 
Raleigh,tablet,4,2,5,40.00%,3.6,0:03:41,0.00%,0,$0.00 
Cary,desktop,3,1,3,0.00%,6.33,0:08:57,0.00%,0,$0.00 
Franklin,tablet,3,2,6,50.00%,1.5,0:04:57,0.00%,0,$0.00 
Sylva,desktop,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Virginia Beach,mobile,3,0,3,66.67%,1.67,0:00:50,0.00%,0,$0.00 
Miami,mobile,2,0,3,33.33%,2.67,0:04:55,0.00%,0,$0.00 
Carrboro,desktop,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,mobile,2,0,2,50.00%,2,0:03:46,0.00%,0,$0.00 
Charlotte,desktop,2,2,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Hillsborough,tablet,2,0,9,22.22%,5.67,0:10:28,0.00%,0,$0.00 
Huntersville,tablet,2,2,2,0.00%,4,0:14:34,0.00%,0,$0.00 
Knightdale,desktop,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Wake Forest,tablet,2,0,3,0.00%,2.33,0:06:36,0.00%,0,$0.00 
Winston-Salem,mobile,2,1,5,80.00%,1.2,0:00:01,0.00%,0,$0.00 
Potomac Falls,desktop,2,2,4,75.00%,1.75,0:03:03,0.00%,0,$0.00 
(not set),desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),mobile,1,0,1,0.00%,3,0:11:33,0.00%,0,$0.00 
Corona,mobile,1,0,1,0.00%,2,0:16:52,0.00%,0,$0.00 
Los Angeles,mobile,1,1,1,0.00%,4,0:12:55,0.00%,0,$0.00 
Phelan,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Middletown,desktop,1,0,1,0.00%,2,0:00:16,0.00%,0,$0.00 
Washington,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tampa,tablet,1,1,1,0.00%,2,0:03:15,0.00%,0,$0.00 
Winter Haven,mobile,1,1,2,50.00%,1.5,0:00:06,0.00%,0,$0.00 
Atlanta,desktop,1,0,1,0.00%,13,0:05:33,0.00%,0,$0.00 
Cumming,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Forsyth,mobile,1,1,1,0.00%,2,0:00:21,0.00%,0,$0.00 
Lawrenceville,mobile,1,0,3,33.33%,1.67,0:00:52,0.00%,0,$0.00 
Marietta,desktop,1,0,2,0.00%,2.5,0:01:25,0.00%,0,$0.00 
Suwanee,desktop,1,1,2,50.00%,2,0:00:28,0.00%,0,$0.00 
Chicago,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ann Arbor,mobile,1,0,4,50.00%,2.5,0:11:16,0.00%,0,$0.00 
Cary,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
