# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20180909-20180909,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
(not set),(direct),3,1,3,66.67%,1.67,0:04:10,0.00%,0,$0.00 
Huntsville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Miami,(direct),1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 
Atlanta,(direct),4,2,4,50.00%,1.75,0:02:04,0.00%,0,$0.00 
Schiller Park,(direct),1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 
Hyattsville,(direct),1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Burlington,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cary,(direct),4,4,4,75.00%,1.25,0:00:05,0.00%,0,$0.00 
Charlotte,(direct),12,5,14,57.14%,2.07,0:03:51,0.00%,0,$0.00 
Concord,(direct),1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 
Durham,(direct),40,14,55,58.18%,2,0:02:10,0.00%,0,$0.00 
Fayetteville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Franklin,(direct),4,1,4,25.00%,1.75,0:04:14,0.00%,0,$0.00 
Hickory,(direct),1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 
Marion,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsboro,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,(direct),9,2,11,63.64%,1.82,0:03:34,0.00%,0,$0.00 
Rocky Mount,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sylva,(direct),2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,(direct),2,0,2,50.00%,3.5,0:00:48,0.00%,0,$0.00 
New York,(direct),2,2,2,50.00%,1.5,0:01:04,0.00%,0,$0.00 
Philadelphia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Providence,(direct),1,1,1,0.00%,5,0:07:57,0.00%,0,$0.00 
Blythewood,(direct),1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 
Columbia,(direct),1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 
Myrtle Beach,(direct),2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Norfolk,(direct),2,1,4,25.00%,2.75,0:02:01,0.00%,0,$0.00 
Roodepoort,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lusaka,(direct),1,0,2,0.00%,2.5,0:09:13,0.00%,0,$0.00 
Friendly,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Panthersville,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Port Wentworth,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
West Springfield,(direct),1,0,1,0.00%,5,0:07:18,0.00%,0,$0.00 
Clayton,bing,1,0,1,0.00%,3,0:05:51,0.00%,0,$0.00 
Black Mountain,bing,1,0,2,50.00%,1.5,0:00:31,0.00%,0,$0.00 
Cashiers,bing,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 
Creedmoor,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,bing,9,5,9,66.67%,1.56,0:04:53,0.00%,0,$0.00 
Hillsborough,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Marion,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,bing,3,0,8,75.00%,1.25,0:00:37,0.00%,0,$0.00 
Providence,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,dnserrorassist.att.net,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Saint-Brieuc,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Huntsville,google,1,1,2,0.00%,4,0:07:47,0.00%,0,$0.00 
Corona,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tallahassee,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,google,3,1,4,75.00%,2,0:08:39,0.00%,0,$0.00 
Cary,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chapel Hill,google,2,0,4,75.00%,1.25,0:00:22,0.00%,0,$0.00 
Charlotte,google,15,3,28,71.43%,1.79,0:02:01,0.00%,0,$0.00 
Cornelius,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,google,61,33,68,64.71%,1.81,0:03:16,0.00%,0,$0.00 
Franklin,google,2,0,2,50.00%,1.5,0:07:19,0.00%,0,$0.00 
Greensboro,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hillsborough,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Jacksonville,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,google,15,5,20,75.00%,1.55,0:02:08,0.00%,0,$0.00 
Timberlake,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Warrenton,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Winston-Salem,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Omaha,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
New York,google,1,0,1,0.00%,3,0:13:04,0.00%,0,$0.00 
Newburgh,google,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Cincinnati,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Columbus,google,1,1,1,0.00%,4,0:06:07,0.00%,0,$0.00 
Gainesville,google,1,0,1,0.00%,5,0:01:53,0.00%,0,$0.00 
Hampton,google,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Virginia Beach,google,1,0,1,0.00%,2,0:07:45,0.00%,0,$0.00 
Wake Forest,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,m.facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),myubc.org,1,1,1,0.00%,2,0:01:28,0.00%,0,$0.00 
Saint-Brieuc,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Huntsville,myubc.org,1,0,1,0.00%,3,0:04:55,0.00%,0,$0.00 
Ontario,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Clayton,myubc.org,1,0,1,0.00%,10,0:07:43,0.00%,0,$0.00 
Atlanta,myubc.org,3,0,4,75.00%,2,0:05:45,0.00%,0,$0.00 
Chicago,myubc.org,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 
Black Mountain,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burnsville,myubc.org,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Cary,myubc.org,1,0,1,0.00%,6,0:15:33,0.00%,0,$0.00 
Chapel Hill,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 
Charlotte,myubc.org,17,8,24,20.83%,2.5,0:04:48,0.00%,0,$0.00 
Clayton,myubc.org,3,2,3,0.00%,3.67,0:05:41,0.00%,0,$0.00 
Creedmoor,myubc.org,1,0,2,0.00%,4,0:11:26,0.00%,0,$0.00 
Durham,myubc.org,48,16,57,17.54%,3.7,0:06:02,0.00%,0,$0.00 
Efland,myubc.org,1,1,1,0.00%,3,0:04:55,0.00%,0,$0.00 
Fayetteville,myubc.org,1,1,1,0.00%,4,0:22:28,0.00%,0,$0.00 
Franklin,myubc.org,4,3,5,0.00%,2.2,0:00:18,0.00%,0,$0.00 
Greensboro,myubc.org,2,2,2,0.00%,3,0:10:48,0.00%,0,$0.00 
Hillsborough,myubc.org,2,1,2,0.00%,2.5,0:01:29,0.00%,0,$0.00 
Mebane,myubc.org,3,0,3,0.00%,2.33,0:00:53,0.00%,0,$0.00 
Raleigh,myubc.org,7,2,9,33.33%,2.11,0:02:55,0.00%,0,$0.00 
Salisbury,myubc.org,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 
Sylva,myubc.org,2,1,2,0.00%,2,0:02:04,0.00%,0,$0.00 
Winston-Salem,myubc.org,1,0,2,50.00%,2.5,0:01:51,0.00%,0,$0.00 
Mount Vernon,myubc.org,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Cincinnati,myubc.org,1,1,1,0.00%,2,0:00:09,0.00%,0,$0.00 
Columbus,myubc.org,1,0,1,0.00%,2,0:00:21,0.00%,0,$0.00 
Myrtle Beach,myubc.org,2,2,2,0.00%,2,0:00:41,0.00%,0,$0.00 
Norfolk,myubc.org,2,1,2,0.00%,4,0:06:16,0.00%,0,$0.00 
Rocky Mount,outlook.live.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Black Mountain,yahoo,1,0,1,0.00%,6,0:03:47,0.00%,0,$0.00 
Chapel Hill,yahoo,1,0,2,0.00%,7.5,0:13:25,0.00%,0,$0.00 
Durham,yahoo,5,2,7,71.43%,1.86,0:03:20,0.00%,0,$0.00 
Efland,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,yahoo,2,1,2,50.00%,2,0:00:58,0.00%,0,$0.00 
Winston-Salem,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,,381,157,476,51.47%,2.16,0:03:12,0.00%,0,$0.00 
