# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181216-20181216,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018121607,54,15,55,49.09%,2.4,0:02:15,0.00%,0,$0.00 
Durham,2018121609,54,18,61,34.43%,2.7,0:03:39,0.00%,0,$0.00 
Durham,2018121608,27,3,26,46.15%,2.46,0:01:12,0.00%,0,$0.00 
Durham,2018121611,26,10,31,41.94%,2.74,0:03:11,0.00%,0,$0.00 
Durham,2018121610,23,9,22,72.73%,1.68,0:02:47,0.00%,0,$0.00 
Charlotte,2018121609,15,2,13,30.77%,7.69,0:10:29,0.00%,0,$0.00 
Charlotte,2018121611,13,3,18,44.44%,4.11,0:02:40,0.00%,0,$0.00 
Raleigh,2018121609,12,5,13,30.77%,2.31,0:05:23,0.00%,0,$0.00 
Charlotte,2018121610,11,3,12,50.00%,2.25,0:04:43,0.00%,0,$0.00 
Durham,2018121612,10,3,8,75.00%,2.12,0:01:12,0.00%,0,$0.00 
Charlotte,2018121612,9,4,9,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Charlotte,2018121607,8,1,9,44.44%,1.67,0:04:47,0.00%,0,$0.00 
Raleigh,2018121607,8,2,8,75.00%,2.38,0:01:22,0.00%,0,$0.00 
Raleigh,2018121610,7,4,6,33.33%,1.83,0:00:22,0.00%,0,$0.00 
Atlanta,2018121609,6,1,5,60.00%,1.4,0:00:02,0.00%,0,$0.00 
Atlanta,2018121610,6,2,5,60.00%,1.6,0:00:03,0.00%,0,$0.00 
Charlotte,2018121608,6,0,4,0.00%,9.75,0:23:23,0.00%,0,$0.00 
Raleigh,2018121611,6,2,7,42.86%,2.86,0:02:23,0.00%,0,$0.00 
Durham,2018121613,5,1,5,60.00%,1.8,0:00:34,0.00%,0,$0.00 
Durham,2018121614,5,2,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018121616,5,2,5,60.00%,1.8,0:03:46,0.00%,0,$0.00 
Durham,2018121617,4,1,3,66.67%,2.33,0:02:25,0.00%,0,$0.00 
Durham,2018121618,4,0,4,50.00%,1.5,0:00:13,0.00%,0,$0.00 
Franklin,2018121607,4,1,4,75.00%,1.25,0:00:02,0.00%,0,$0.00 
Franklin,2018121611,4,2,3,33.33%,3.33,0:03:36,0.00%,0,$0.00 
(not set),2018121607,3,2,3,66.67%,1.33,0:00:09,0.00%,0,$0.00 
Atlanta,2018121608,3,2,3,33.33%,3,0:12:10,0.00%,0,$0.00 
Atlanta,2018121612,3,0,2,0.00%,2.5,0:00:05,0.00%,0,$0.00 
Chapel Hill,2018121611,3,1,3,0.00%,6.33,0:14:35,0.00%,0,$0.00 
Durham,2018121620,3,0,3,66.67%,1.33,0:00:03,0.00%,0,$0.00 
Durham,2018121622,3,1,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Henderson,2018121609,3,3,3,66.67%,1.67,0:01:07,0.00%,0,$0.00 
Mebane,2018121609,3,1,3,0.00%,2.33,0:05:18,0.00%,0,$0.00 
Raleigh,2018121608,3,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,2018121612,3,3,3,66.67%,1.67,0:06:04,0.00%,0,$0.00 
Wake Forest,2018121609,3,1,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Atlanta,2018121611,2,1,2,0.00%,2,0:15:07,0.00%,0,$0.00 
Cary,2018121609,2,0,2,50.00%,1.5,0:00:01,0.00%,0,$0.00 
Cary,2018121610,2,1,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Chapel Hill,2018121608,2,1,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Chapel Hill,2018121619,2,1,2,50.00%,1,0:06:28,0.00%,0,$0.00 
Charlotte,2018121613,2,0,2,50.00%,2,0:01:32,0.00%,0,$0.00 
Charlotte,2018121614,2,0,2,50.00%,1.5,0:06:40,0.00%,0,$0.00 
Charlotte,2018121616,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Charlotte,2018121617,2,0,2,50.00%,1.5,0:00:04,0.00%,0,$0.00 
Durham,2018121615,2,1,2,50.00%,2.5,0:01:54,0.00%,0,$0.00 
Durham,2018121621,2,0,2,50.00%,1.5,0:00:58,0.00%,0,$0.00 
Franklin,2018121608,2,0,2,50.00%,1.5,0:00:03,0.00%,0,$0.00 
Franklin,2018121610,2,1,2,0.00%,2,0:15:29,0.00%,0,$0.00 
Franklin,2018121612,2,0,3,66.67%,1.33,0:00:07,0.00%,0,$0.00 
Hillsborough,2018121607,2,0,3,66.67%,1,0:04:44,0.00%,0,$0.00 
Hillsborough,2018121608,2,0,2,100.00%,1.5,0:00:00,0.00%,0,$0.00 
Mebane,2018121608,2,0,2,50.00%,2,0:10:24,0.00%,0,$0.00 
Raleigh,2018121620,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Raleigh,2018121621,2,0,2,50.00%,1.5,0:04:29,0.00%,0,$0.00 
Winston-Salem,2018121609,2,0,2,50.00%,2,0:15:29,0.00%,0,$0.00 
Ashburn,2018121614,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),2018121608,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
(not set),2018121610,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Phenix City,2018121609,1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 
Corona,2018121612,1,0,1,0.00%,4,0:01:01,0.00%,0,$0.00 
San Francisco,2018121611,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
San Francisco,2018121614,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,2018121607,1,1,1,0.00%,3,0:08:14,0.00%,0,$0.00 
Washington,2018121612,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Washington,2018121618,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hialeah,2018121615,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Perry,2018121610,1,0,1,0.00%,2,0:01:11,0.00%,0,$0.00 
Winter Haven,2018121611,1,1,1,0.00%,10,0:32:35,0.00%,0,$0.00 
Atlanta,2018121607,1,0,2,0.00%,2,0:00:41,0.00%,0,$0.00 
Atlanta,2018121614,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121615,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121616,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121619,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018121620,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Conyers,2018121611,1,1,1,0.00%,3,0:00:59,0.00%,0,$0.00 
Conyers,2018121612,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
